orp_mV,ec_uScm,tds_mgL,turbidity_NTU,temp_C,pH,do_mgL,bod_mgL,hour,day,month,dayofweek,site_name,class
177.03223570235912,566.3978446108861,376.7486133267828,3.5399281788394767,29.198130012172847,6.527734046682159,7.514282447307273,1.0,4,23,2,2,Coastal Bio-Swale,0
336.8396867123075,1355.8091284558645,881.774426014741,4.006666154007345,25.69495228388691,8.180277493567873,6.4618806038038645,7.675950707705096,19,20,4,1,Metro Reservoir A,1
160.01494675348272,584.2566530038323,376.9906374611258,10.440519570243287,31.893463809942457,4.641831858897416,7.827968965471367,1.0,16,30,3,0,Effluent Plant C,1
305.71403178542363,770.8388989220662,501.3980062257961,1.4169064809999894,30.495583772306308,7.573622859616861,5.115999671663185,9.726071322137791,20,1,2,3,Metro Reservoir A,1
489.56266318771657,1224.7737086059476,788.8309361079353,35.886710523525764,21.383294239089366,6.118224253369882,7.434903345204917,6.005309057520959,9,25,12,5,Metro Reservoir A,2
501.3337401860511,641.9311983988672,415.75352244531473,26.092793362691502,23.86211457192985,8.759902773674174,8.258466862780807,5.7742133876115656,4,20,6,3,Industrial Basin B,2
274.23786657738583,750.339383105697,482.8252322987974,5.792745875315908,27.53831879519035,7.673906120649631,8.290998362078861,1.0,3,9,4,1,Effluent Plant C,0
129.10418950987702,1038.3494872268932,673.918718513696,8.244777944273135,21.665568262319212,5.376278540627953,7.75732502433773,5.978178356253517,5,22,6,3,Effluent Plant C,2
235.965542808829,1313.5420602588515,849.2654964716445,7.275830966187781,36.36211960788645,6.700625740185927,5.469382903104779,3.944906288158382,3,15,2,5,Effluent Plant C,0
363.8089739139714,606.3344405915064,399.35690512385924,22.38765128458011,31.288928728157366,7.744272036317507,6.1110312893098735,6.422058034325307,6,1,12,2,Metro Reservoir A,1
471.4467659016708,1217.628573236355,799.6426266021251,12.666830450214293,27.946668611854154,6.83525512431535,7.232379307304217,2.9053123940606307,6,12,4,3,Coastal Bio-Swale,0
382.4144985870407,715.5413870407036,461.3047433743105,4.258842342664115,26.629173785546946,7.374144399513124,7.699476171984577,5.868331553833786,17,3,11,1,Effluent Plant C,1
446.3539619730825,534.2213883605185,339.1251057456697,6.921102562046094,25.601345382564006,7.176915886723129,8.842940183433093,2.220358034352307,2,11,6,1,Metro Reservoir A,0
582.7810973736642,874.8669290922671,575.7797212518154,6.6030648386278346,20.14387136811636,8.240185303099988,8.506484063262524,4.896605172774807,0,2,5,6,Industrial Basin B,0
216.08258285620965,452.7295826694209,296.121816863008,33.0239164567071,21.06850539341748,7.727478929599127,7.2106025809980085,8.688336778357167,23,16,3,6,Coastal Bio-Swale,1
119.74393263874046,941.6034294388644,608.3748683500917,2.927488249073618,35.60448292507043,7.142149937228927,3.8620797659787343,8.646675963808258,3,9,8,2,Industrial Basin B,2
128.69342247425936,1744.8944033403625,1147.9368813048677,1.938452243995465,34.29439855693034,7.2215012858663,4.838986171805772,6.611548053731898,5,15,7,3,Coastal Bio-Swale,2
322.75857774770253,1131.6802445761082,729.9418163698053,22.25433813760501,25.69688898030384,5.900599124900346,6.344402681036039,6.495071174966945,8,12,3,3,Metro Reservoir A,2
250.2085168897372,768.5301086629632,479.61520747412436,23.699822828749454,31.63199662472983,8.96085841264259,5.6677399461722135,6.346078208291303,21,1,6,6,Tank A (Main Reservoir),2
344.0461869318456,1115.66057230233,718.0997782901944,21.53688714045201,30.025683099988125,10.0,5.89785767836936,7.093924872036746,13,13,4,0,Coastal Bio-Swale,2
197.63055266768959,520.5434814148205,354.53704768854647,8.153455833117944,30.497151826595367,6.803580904138235,4.970886185106186,7.115481931708457,11,14,11,4,Industrial Basin B,2
448.72259153587595,570.8976091993491,367.9064086689088,11.780582621826104,22.299288941997176,7.257239365048354,9.001061252825677,2.94512289891129,19,25,5,1,Metro Reservoir A,0
239.43249331931486,776.8505674366206,499.7984759194439,9.286532016199908,20.767288309879362,8.41805633215017,7.119616616386525,7.638281204013685,23,25,11,0,Coastal Bio-Swale,1
358.3452400199293,826.3343599549512,537.3833651832539,1.7197713360060058,32.730377436279554,8.411363606990552,7.2515320405559365,1.360994446840474,3,8,5,1,Tank A (Main Reservoir),0
317.06996170531437,412.0091542370699,277.91658113302447,10.059318134664359,20.08280678785268,7.413971947578832,8.474602447296771,6.374870987342509,20,8,7,0,Tank A (Main Reservoir),1
142.91370723337843,708.0567523668706,459.4078891312943,1.1370766954639224,27.40722583446994,6.028597177837755,7.450685068626123,5.737989061272002,23,27,11,6,Effluent Plant C,2
368.81038739334537,756.6233849041837,497.7186760068058,4.9302393577554255,26.52919069512885,9.381790604010945,8.499189970679627,2.478328671773804,11,30,5,6,Effluent Plant C,1
452.66935177070076,1262.5917043515901,818.7919455191654,27.925594429370257,26.159396153294367,8.017481183994,8.94681668727997,2.165417617598236,9,12,11,4,Industrial Basin B,0
245.2684876016855,411.99634509955075,273.7897360261717,4.624706633432611,29.257803289162627,7.464658688274267,7.455554938658222,3.6687635655303046,21,1,3,0,Coastal Bio-Swale,0
